港澳台,#genre#
凤凰资讯「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://wouu.net:9977/udp/239.93.0.118:2191
凤凰资讯,http://j.cxctu.cf:4000/udp/239.93.0.118:2191
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8
凤凰中文,http://wouu.net:9977/udp/239.93.0.162:2192
凤凰中文,http://j.cxctu.cf:4000/udp/239.93.0.162:2192
凤凰中文,http://111.20.40.166:80/PLTV/88888893/224/3221226547/index.m3u8
凤凰香港台,http://nas.jdshipin.com:8801/fhx.php?id=3
星河频道高清,http://zw9999.cnstream.top/play/ubI0Nrlni6TwusjXuSxNxKhNUGBfO_GdATzBMAV6h6g
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港衛視文旅台,http://107.151.203.111:2209/135/hk.php?id=hk6
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳亚卫视,http://lu1.cc/a/play/php/gudou.php?id=ayws

Global-1,#genre#
ABC News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8
America's Voice 「EXO」,https://p1media-americasvoice-1.vizio.wurl.com/manifest/playlist.m3u8
Bloomberg TV 「EXO」,https://bloomberg-bloomberg-1-be.samsung.wurl.tv/playlist.m3u8
Bloomberg TV 「EXO」,https://bloomberg-bloombergtv-1-gb.samsung.wurl.com/manifest/playlist.m3u8
Bloomberg TV 「EXO」,https://bloomberg-bloombergtv-1-it.samsung.wurl.com/manifest/playlist.m3u8
Bloomberg TV 「EXO」,https://bloomberg-bloomberg-5-mx.samsung.wurl.com/manifest/playlist.m3u8
Bloomberg Quicktake 「EXO」,http://bloomberg-quicktake-1-nl.samsung.wurl.tv/playlist.m3u8
Bloomberg Quicktake 「EXO」,https://bloomberg-quicktake-4-nz.samsung.wurl.tv/playlist.m3u8
Bloomberg TV+2 「EXO」,https://liveprodusphoenixeast.akamaized.net/USPhx-HD/Channel-TX-USPhx-AWS-virginia-1/Source-USPhx-16k-1-s6lk2-BP-07-02-81ykIWnsMsg_live.m3u8?zshijd
CBS News 「EXO」,https://cbsnews.akamaized.net/hls/live/2020607/cbsnlineup_8/master.m3u8
CBS News 「EXO」,http://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_7.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
CNN,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8
Cheddar News 「EXO」,https://cheddar.samsung.wurl.com/manifest/playlist.m3u8
DCCouncilChannel,http://video.oct.dc.gov/out/u/15_12.m3u8
Fox News Now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
Fox News Now,https://fox-foxnewsnow-vizio.amagi.tv/playlist.m3u8
Fox Soul,https://fox-foxsoul-samsungus.amagi.tv/playlist.m3u8
Fox Soul,https://foxsoul-vizio.amagi.tv/playlist.m3u8
Fox TV [Not 24/7]「EXO」,https://comedy-redbox.amagi.tv/playlist.m3u8
金砖英文,http://brics.bonus-tv.ru/cdn/brics/english/tracks-v1a1/index.m3u8
